No,Kode,Name of Bank,Year, lnaudifee , crd , covid , crd*covid , crg , cause , impact ,LnBankSize,Leverage,NPL,Efficiency Ratio,Securities Investment,caratio,NetLoss,GOING CONCERN,BIG-4,initial,GDPG (%),,
13,BEKS,Bank Pembangunan Daerah Banten Tbk.,2019, 10.52 ,0.17,0.00,0.00,0.50,0.00,0.00,20.183,0.93,0.050,0.56,0.7530,0.09,1,1,0,0,5.0182,,
13,BEKS,Bank Pembangunan Daerah Banten Tbk.,2020, 10.56 ,0.25,1.00,0.25,0.50,0.00,0.50,19.751,0.74,0.221,0.79,0.6061,0.35,1,1,0,1,-2.0695,,
14,BINA,Bank Ina Perdana Tbk.,2015, 10.66 ,0.08,0.00,0.00,0.25,0.00,0.00,18.832,0.85,0.002,0.27,0.8961,0.20,0,0,1,1,4.8763,,
14,BINA,Bank Ina Perdana Tbk.,2016, 10.70 ,0.08,0.00,0.00,0.25,0.00,0.00,18.984,0.8,0.031,0.28,0.8834,0.30,0,0,1,1,5.0331,,
14,BINA,Bank Ina Perdana Tbk.,2017, 10.67 ,0.17,0.00,0.00,0.50,0.00,0.00,19.256,0.61,0.046,0.35,0.9117,0.66,0,0,1,0,5.0698,,
14,BINA,Bank Ina Perdana Tbk.,2018, 10.72 ,0.17,0.00,0.00,0.50,0.00,0.00,19.400,0.69,0.024,0.37,0.9281,0.55,0,0,1,0,5.1743,,
14,BINA,Bank Ina Perdana Tbk.,2019, 10.93 ,0.33,0.00,0.00,0.75,0.00,0.50,19.752,0.77,0.048,0.37,0.9491,0.37,0,0,1,0,5.0182,,
14,BINA,Bank Ina Perdana Tbk.,2020, 11.13 ,0.33,1.00,0.33,0.75,0.00,0.50,20.209,0.86,0.014,0.36,0.9352,0.40,0,0,1,0,-2.0695,,
15,BJBR,Bank Pembangunan Daerah Jawa Barat Tbk.,2015, 11.89 ,0.17,0.00,0.00,0.50,0.00,0.00,22.614,0.86,0.029,0.88,0.9727,0.16,0,0,1,1,4.8763,,
15,BJBR,Bank Pembangunan Daerah Jawa Barat Tbk.,2016, 11.99 ,0.17,0.00,0.00,0.50,0.00,0.00,22.763,0.85,0.017,0.93,0.9763,0.18,0,0,1,0,5.0331,,
