No,Kode,Name of Bank,Year, lnaudifee , crd , covid , crd*covid , crg , cause , impact ,LnBankSize,Leverage,NPL,Efficiency Ratio,Securities Investment,caratio,NetLoss,GOING CONCERN,BIG-4,initial,GDPG (%),,
56,BPI,Bank of the Philippine Islands,2016, 12.49 ,0.00,0.00,0.00,0.00,0.00,0.00,24.060,0.91,0.015,0.61,0.9706,0.12,0,0,1,0,7.1495,,
56,BPI,Bank of the Philippine Islands,2017, 12.47 ,0.00,0.00,0.00,0.00,0.00,0.00,24.180,0.91,0.013,0.56,0.9754,0.11,0,0,1,0,6.9310,,
56,BPI,Bank of the Philippine Islands,2018, 12.43 ,0.00,0.00,0.00,0.00,0.00,0.00,24.227,0.89,0.019,0.49,0.9743,0.15,0,0,1,0,6.3415,,
56,BPI,Bank of the Philippine Islands,2019, 12.83 ,0.00,0.00,0.00,0.00,0.00,0.00,24.324,0.88,0.017,0.43,0.9763,0.15,0,0,1,0,6.1185,,
56,BPI,Bank of the Philippine Islands,2020, 12.81 ,0.00,1.00,0.00,0.00,0.00,0.00,24.400,0.88,0.027,0.45,0.9770,0.17,0,0,1,0,-9.5730,,
57,CSB,"Citystate Savings Bank, Inc.",2015, 10.14 ,0.00,0.00,0.00,0.00,0.00,0.00,18.453,0.87,0.028,1.4,0.8703,0.22,1,0,0,0,6.3483,,
57,CSB,"Citystate Savings Bank, Inc.",2016, 10.13 ,0.00,0.00,0.00,0.00,0.00,0.00,18.252,0.84,0.052,1.3,0.8273,0.23,1,0,0,0,7.1495,,
57,CSB,"Citystate Savings Bank, Inc.",2017, 10.14 ,0.00,0.00,0.00,0.00,0.00,0.00,18.233,0.83,0.098,1.33,0.8342,0.16,1,0,0,0,6.9310,,
57,CSB,"Citystate Savings Bank, Inc.",2018, 10.14 ,0.00,0.00,0.00,0.00,0.00,0.00,18.098,0.83,0.064,1.31,0.8223,0.16,1,0,0,0,6.3415,,
57,CSB,"Citystate Savings Bank, Inc.",2019, 10.34 ,0.17,0.00,0.00,0.00,0.29,0.00,18.201,0.84,0.100,1.25,0.8471,0.14,1,0,0,0,6.1185,,
57,CSB,"Citystate Savings Bank, Inc.",2020, 10.44 ,0.08,1.00,0.08,0.00,0.14,0.00,18.464,0.87,0.078,1.03,0.8758,0.14,0,0,0,0,-9.5730,,
58,EW,East West Banking Corporation,2015, 11.27 ,0.00,0.00,0.00,0.00,0.00,0.00,22.293,0.87,0.006,0.67,0.9314,0.15,0,0,1,0,6.3483,,
58,EW,East West Banking Corporation,2016, 11.32 ,0.25,0.00,0.00,0.25,0.29,0.00,22.454,0.88,0.004,0.64,0.9441,0.13,0,0,1,0,7.1495,,
58,EW,East West Banking Corporation,2017, 11.13 ,0.33,0.00,0.00,0.50,0.29,0.00,22.518,0.87,0.003,0.64,0.9505,0.13,0,0,1,0,6.9310,,
58,EW,East West Banking Corporation,2018, 11.20 ,0.25,0.00,0.00,0.50,0.14,0.00,22.604,0.88,0.046,0.61,0.9349,0.13,0,0,1,0,6.3415,,
58,EW,East West Banking Corporation,2019, 11.07 ,0.67,0.00,0.00,0.75,0.57,0.50,22.744,0.87,0.048,0.55,0.9424,0.13,0,0,1,0,6.1185,,
58,EW,East West Banking Corporation,2020, 11.14 ,0.67,1.00,0.67,0.75,0.43,1.00,22.807,0.86,0.081,0.53,0.9436,0.13,0,0,1,0,-9.5730,,
59,MBT,Metropolitan Bank & Trust Company,2015, 13.25 ,0.08,0.00,0.00,0.25,0.00,0.00,24.158,0.87,0.010,0.6,0.9549,0.16,0,0,1,0,6.3483,,
59,MBT,Metropolitan Bank & Trust Company,2016, 12.41 ,0.08,0.00,0.00,0.25,0.00,0.00,24.157,0.87,0.009,0.68,0.9568,0.14,0,0,1,0,7.1495,,
59,MBT,Metropolitan Bank & Trust Company,2017, 12.57 ,0.08,0.00,0.00,0.25,0.00,0.00,24.252,0.88,0.010,0.61,0.9630,0.14,0,0,1,0,6.9310,,
59,MBT,Metropolitan Bank & Trust Company,2018, 12.68 ,0.17,0.00,0.00,0.50,0.00,0.00,24.288,0.84,0.012,0.55,0.9572,0.16,0,0,1,0,6.3415,,
59,MBT,Metropolitan Bank & Trust Company,2019, 13.60 ,0.08,0.00,0.00,0.25,0.00,0.00,24.440,0.85,0.013,0.49,0.9578,0.15,0,0,1,0,6.1185,,
59,MBT,Metropolitan Bank & Trust Company,2020, 13.11 ,0.17,1.00,0.17,0.50,0.00,0.00,24.526,0.85,0.018,0.54,0.9596,0.20,0,0,1,0,-9.5730,,
60,PBC,Philippine Bank of Communications,2015, 11.14 ,0.00,0.00,0.00,0.00,0.00,0.00,21.173,0.88,0.073,0.96,0.8950,0.15,0,0,1,0,6.3483,,
60,PBC,Philippine Bank of Communications,2016, 11.14 ,0.00,0.00,0.00,0.00,0.00,0.00,21.250,0.87,0.061,0.82,0.9069,0.15,0,0,1,0,7.1495,,
60,PBC,Philippine Bank of Communications,2017, 11.28 ,0.00,0.00,0.00,0.00,0.00,0.00,21.391,0.87,0.051,0.75,0.8778,0.16,0,0,1,0,6.9310,,
60,PBC,Philippine Bank of Communications,2018, 11.74 ,0.00,0.00,0.00,0.00,0.00,0.00,21.382,0.9,0.044,0.67,0.8819,0.15,0,0,1,0,6.3415,,
60,PBC,Philippine Bank of Communications,2019, 11.20 ,0.00,0.00,0.00,0.00,0.00,0.00,21.429,0.89,0.038,0.56,0.8854,0.16,0,0,1,0,6.1185,,
60,PBC,Philippine Bank of Communications,2020, 11.28 ,0.58,1.00,0.58,1.00,0.29,0.50,21.469,0.88,0.057,0.58,0.8851,0.19,0,0,1,0,-9.5730,,
61,PBB,Philippine Business Bank,2015, 10.84 ,0.25,0.00,0.00,0.75,0.00,0.00,21.053,0.87,0.029,0.5,0.9054,0.18,0,0,0,0,6.3483,,
61,PBB,Philippine Business Bank,2016, 10.91 ,0.17,0.00,0.00,0.50,0.00,0.00,21.067,0.86,0.025,0.55,0.9107,0.17,0,0,0,0,7.1495,,
61,PBB,Philippine Business Bank,2017, 10.95 ,0.08,0.00,0.00,0.25,0.00,0.00,21.282,0.88,0.021,0.51,0.9199,0.14,0,0,0,0,6.9310,,
61,PBB,Philippine Business Bank,2018, 11.49 ,0.17,0.00,0.00,0.50,0.00,0.00,21.309,0.88,0.018,0.41,0.9254,0.14,0,0,0,0,6.3415,,
61,PBB,Philippine Business Bank,2019, 11.79 ,0.50,0.00,0.00,1.00,0.29,0.00,21.533,0.89,0.023,0.38,0.9394,0.14,0,0,0,0,6.1185,,
61,PBB,Philippine Business Bank,2020, 12.25 ,0.42,1.00,0.42,0.75,0.14,0.50,21.637,0.88,0.041,0.39,0.9430,0.14,0,0,0,0,-9.5730,,
62,PNB,Philippine National Bank,2015, 12.95 ,0.42,0.00,0.00,1.00,0.14,0.00,23.316,0.84,0.026,0.84,0.9178,0.14,0,0,1,0,6.3483,,
62,PNB,Philippine National Bank,2016, 13.16 ,0.67,0.00,0.00,1.00,0.57,0.00,23.382,0.85,0.023,0.82,0.9263,0.12,0,0,1,0,7.1495,,
62,PNB,Philippine National Bank,2017, 12.88 ,0.42,0.00,0.00,1.00,0.14,0.00,23.471,0.85,0.020,0.77,0.9365,0.12,0,0,1,0,6.9310,,
62,PNB,Philippine National Bank,2018, 13.04 ,0.33,0.00,0.00,1.00,0.00,0.00,23.574,0.86,0.029,0.66,0.9451,0.12,0,0,1,0,6.3415,,
62,PNB,Philippine National Bank,2019, 13.37 ,0.58,0.00,0.00,1.00,0.43,0.00,23.771,0.86,0.031,0.49,0.9441,0.13,0,0,1,0,6.1185,,
62,PNB,Philippine National Bank,2020, 13.15 ,0.42,1.00,0.42,1.00,0.14,0.00,23.958,0.87,0.102,0.57,0.9516,0.13,0,0,1,0,-9.5730,,
63,PSB,Philippine Savings Bank,2015, 10.82 ,0.08,0.00,0.00,0.25,0.00,0.00,22.001,0.89,0.014,0.63,0.9853,0.18,0,0,1,0,6.3483,,
63,PSB,Philippine Savings Bank,2016, 10.91 ,0.25,0.00,0.00,0.75,0.00,0.00,22.097,0.9,0.009,0.61,0.9872,0.14,0,0,1,0,7.1495,,
63,PSB,Philippine Savings Bank,2017, 10.85 ,0.25,0.00,0.00,0.75,0.00,0.00,22.221,0.9,0.008,0.6,0.9893,0.14,0,0,1,0,6.9310,,
63,PSB,Philippine Savings Bank,2018, 10.64 ,0.42,0.00,0.00,1.00,0.14,0.00,22.229,0.9,0.039,0.56,0.9899,0.14,0,0,1,0,6.3415,,
63,PSB,Philippine Savings Bank,2019, 11.36 ,0.25,0.00,0.00,0.75,0.00,0.00,22.212,0.85,0.036,0.51,0.9833,0.18,0,0,1,0,6.1185,,
63,PSB,Philippine Savings Bank,2020, 11.54 ,0.33,1.00,0.33,0.75,0.14,0.00,22.242,0.84,0.070,0.53,0.9812,0.19,0,0,1,0,-9.5730,,
64,PTC,Philippine Trust Company,2015, 10.58 ,0.00,0.00,0.00,0.00,0.00,0.00,21.819,0.83,0.051,0.33,0.9265,0.38,0,0,0,0,6.3483,,
64,PTC,Philippine Trust Company,2016, 10.54 ,0.00,0.00,0.00,0.00,0.00,0.00,21.896,0.85,0.051,0.33,0.9348,37.65,0,0,0,0,7.1495,,
64,PTC,Philippine Trust Company,2017, 11.03 ,0.08,0.00,0.00,0.25,0.00,0.00,21.840,0.85,0.124,0.37,0.9351,0.45,0,0,0,1,6.9310,,
64,PTC,Philippine Trust Company,2018, 11.35 ,0.00,0.00,0.00,0.00,0.00,0.00,21.790,0.86,0.154,0.38,0.9347,0.34,0,0,0,1,6.3415,,
64,PTC,Philippine Trust Company,2019, 11.23 ,0.00,0.00,0.00,0.00,0.00,0.00,21.877,0.84,0.238,0.27,0.9391,0.46,0,0,0,1,6.1185,,
64,PTC,Philippine Trust Company,2020, 11.28 ,0.25,1.00,0.25,0.25,0.29,0.00,21.978,0.84,0.137,0.36,0.9425,0.51,0,0,0,0,-9.5730,,
65,RCB,Rizal Commercial Banking Corporation,2015, 12.32 ,0.25,0.00,0.00,0.75,0.00,0.00,21.400,0.9,0.010,0.58,0.3507,0.16,0,0,0,0,6.3483,,
65,RCB,Rizal Commercial Banking Corporation,2016, 12.33 ,0.42,0.00,0.00,1.00,0.14,0.00,21.504,0.9,0.008,0.68,0.4007,0.16,0,0,0,0,7.1495,,
65,RCB,Rizal Commercial Banking Corporation,2017, 12.31 ,0.25,0.00,0.00,0.75,0.00,0.00,21.582,0.9,0.011,0.65,0.4368,0.15,0,0,0,0,6.9310,,
65,RCB,Rizal Commercial Banking Corporation,2018, 12.36 ,0.50,0.00,0.00,1.00,0.29,0.00,21.699,0.91,0.034,0.56,0.4172,0.17,0,0,0,0,6.3415,,
65,RCB,Rizal Commercial Banking Corporation,2019, 12.41 ,0.50,0.00,0.00,1.00,0.29,0.00,22.000,0.68,0.037,0.51,0.5538,0.13,0,0,0,0,6.1185,,
65,RCB,Rizal Commercial Banking Corporation,2020, 12.40 ,0.33,1.00,0.33,1.00,0.00,0.00,21.906,0.68,0.053,0.53,0.3742,0.16,0,0,0,0,-9.5730,,
66,SECB,Security Bank Corporation,2015, 11.48 ,0.08,0.00,0.00,0.25,0.00,0.00,23.147,0.9,0.055,0.47,0.9882,0.14,0,0,1,0,6.3483,,
66,SECB,Security Bank Corporation,2016, 11.53 ,0.08,0.00,0.00,0.25,0.00,0.00,23.360,0.86,0.047,0.43,0.9885,0.20,0,0,1,0,7.1495,,
66,SECB,Security Bank Corporation,2017, 11.42 ,0.08,0.00,0.00,0.25,0.00,0.00,23.355,0.85,0.047,0.41,0.9892,0.17,0,0,1,0,6.9310,,
66,SECB,Security Bank Corporation,2018, 11.64 ,0.08,0.00,0.00,0.25,0.00,0.00,23.400,0.86,0.006,0.39,0.9902,0.18,0,0,1,0,6.3415,,
66,SECB,Security Bank Corporation,2019, 12.12 ,0.75,0.00,0.00,1.00,0.71,0.00,23.466,0.85,0.013,0.37,0.9906,0.17,0,0,1,0,6.1185,,
66,SECB,Security Bank Corporation,2020, 12.25 ,0.25,1.00,0.25,0.25,0.14,0.50,23.333,0.81,0.044,0.48,0.9888,0.20,0,0,1,0,-9.5730,,
67,UBP,Union Bank of the Philippines,2015, 12.29 ,0.00,0.00,0.00,0.00,0.00,0.00,22.794,0.85,0.063,0.62,0.9707,0.17,0,0,1,0,6.3483,,
67,UBP,Union Bank of the Philippines,2016, 12.31 , 0.17 ,0.00,0.00, 0.50 ,0.00,0.00,22.947,0.85,0.034,0.61,0.9759,0.16,0,0,1,0,7.1495,,
67,UBP,Union Bank of the Philippines,2017, 12.45 , 0.33 ,0.00,0.00, 0.50 ,0.29,0.00,23.131,0.87,0.047,0.54,0.9811,0.14,0,0,1,0,6.9310,,
67,UBP,Union Bank of the Philippines,2018, 12.11 , 0.17 ,0.00,0.00, 0.50 ,0.00,0.00,23.152,0.86,0.035,0.55,0.9796,0.16,0,0,1,0,6.3415,,
67,UBP,Union Bank of the Philippines,2019, 12.43 , 0.08 ,0.00,0.00, 0.25 ,0.00,0.00,23.358,0.86,0.028,0.51,0.9831,0.15,0,0,1,0,6.1185,,
67,UBP,Union Bank of the Philippines,2020, 12.60 , 0.17 ,1.00,0.17, 0.50 ,0.00,0.00,23.386,0.85,0.060,0.54,0.9829,0.17,0,0,1,0,-9.5730,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
